Country;EsperanzaVida;EscolaridadDuracion;EscolaridadPromedio;GNI
Cameroon;60.33;13.1;6.2;3621
Kenya;61.43;10.7;6.7;4474
Congo;63.52;12.3;6.2;2889
Zambia;61.22;10.9;7.2;3218
Solomon Islands;70.35;10.3;5.7;2482
Comoros;63.42;11.9;5.1;3142
Papua New Guinea;65.35;10.4;4.7;4009
Mauritania;64.36;9.4;4.9;5075
Côte d'Ivoire;58.6;10.7;5.2;5217
Tanzania (United Republic of);66.2;9.2;6.4;2664
Pakistan;66.1;8.7;4.5;4624
Togo;61.62;13;5;2167
Haiti;63.19;9.7;5.6;2848
Nigeria;52.68;10.1;7.2;4790
Rwanda;66.07;11.2;4.4;2210
Benin;59.82;10.8;4.3;3409
Uganda;62.7;10.1;5.7;2181
Lesotho;53.06;12;6;2700
Malawi;62.9;12.7;4.5;1466
Senegal;67.09;9;2.9;3344
Djibouti;62.3;7.4;4.1;5025
Sudan;65.27;7.9;3.8;3575
Madagascar;64.49;10.1;5.1;1484
Gambia;62.08;9.4;4.6;2172
Ethiopia;64.97;9.7;3.2;2361
Eritrea;66.54;8.1;4.9;1729
Guinea-Bissau;59.65;10.6;3.6;1908
Liberia;60.75;10.4;5.1;1289
Congo (Democratic Republic of the);59.19;9.8;7;1076
Afghanistan;61.98;10.3;3;1824
Sierra Leone;60.06;9.6;4.6;1622
Guinea;58.89;9.8;2.2;2481
Yemen;63.75;9.1;3.2;1314
Burkina Faso;59.27;9.1;2.1;2118
Mozambique;59.32;10.2;3.2;1198
Mali;58.94;7.4;2.3;2133
Burundi;61.66;10.7;3.1;732
Central African Republic;53.89;8;4.3;966
Niger;61.58;7;2.1;1240
Chad;52.53;8;2.6;1364
South Sudan;54.98;5.5;5.7;768
